,Decade,Total Pages,Pages with Faces,% Pages with Faces,Total Faces
7,1790,20,1,5.0,1
4,1800,36,0,0.0,0
0,1810,26,1,3.8461538461538463,1
10,1820,32,0,0.0,0
12,1830,36,0,0.0,0
16,1840,24,0,0.0,0
9,1850,24,1,4.166666666666666,1
11,1860,24,1,4.166666666666666,1
13,1870,24,0,0.0,0
20,1880,24,0,0.0,0
15,1890,26,0,0.0,0
18,1900,28,1,3.571428571428571,1
19,1910,30,0,0.0,0
17,1920,28,4,14.285714285714285,5
14,1930,28,3,10.714285714285714,3
8,1940,38,5,13.157894736842104,7
6,1950,48,9,18.75,9
3,1960,90,14,15.555555555555555,18
5,1970,78,10,12.82051282051282,11
2,1980,136,43,31.61764705882353,56
1,1990,208,63,30.288461538461537,98
